#TestedGene	TissueWithHighestMeanExpression	TissueWith2ndHighestMeanExpression	MeanExpressionOfTissueWithHighestMeanExpression	MeanExpressionOfTissueWith2ndHighestMeanExpression	Enrichment	WilcoxRankSumTestPvalue	IsTissueSpecific(Enrichment>5,Pvalue<0.01)
ACVR1B	Skin	Kidney	1.1821	16.4401	13.9075	4.5704e-01	0
ACVR2A	Skin	Bladder	1.2681	5.8034	4.5764	6.4162e-01	0
AKT1	Adrenal Gland	Prostate	1.1249	18.6246	16.5571	3.5746e-03	0
ALB	DigestiveTract	Kidney	18.2181	715.0363	39.2488	3.6150e-03	1
APC	Brain	Skin	3.5729	13.2090	3.6970	6.1150e-90	0
ARHGAP35	Brain	Blood Vessel	1.2353	13.4963	10.9255	3.9269e-11	0
ARID1A	Bone Marrow	Thyroid	1.5193	26.7727	17.6217	1.2176e-23	0
ARID2	Bone Marrow	Thyroid	1.5358	5.1073	3.3256	8.4262e-22	0
ATAD2B	Bone Marrow	Thyroid	1.4665	4.2980	2.9308	5.2633e-19	0
ATM	Spleen	Pituitary	1.0093	6.6297	6.5683	8.7411e-01	0
AXIN1	Bone Marrow	Spleen	1.3695	10.1312	7.3978	2.2762e-10	0
B2M	Blood	Spleen	1.1201	1350.7737	1205.8903	1.8116e-01	0
BAP1	Brain	Spleen	1.1895	27.8358	23.4006	3.1345e-02	0
BAX	Spleen	Blood	1.3672	41.8561	30.6149	4.3263e-07	0
BRAF	Bone Marrow	Bladder	1.0050	5.9708	5.9409	9.7714e-01	0
BRD7	Bone Marrow	Blood Vessel	1.2969	9.8257	7.5761	5.3802e-22	0
CASP8	Blood	Spleen	1.2634	13.7785	10.9056	9.2145e-01	0
CBFB	Bone Marrow	Nerve	1.7981	26.4059	14.6853	9.3515e-24	0
CDH1	Thyroid	Salivary Gland	1.1130	43.3906	38.9867	8.2239e-01	0
CDK12	Bone Marrow	Skin	2.1996	11.3239	5.1482	9.7218e-30	0
CDKN1A	Skin	Blood Vessel	1.1696	176.7118	151.0867	3.8531e-01	0
CDKN1B	Nerve	Blood Vessel	1.1300	42.3085	37.4409	1.1819e-04	0
CDKN2A	Pituitary	Skin	4.8042	7.8608	1.6362	3.2788e-14	0
CTCF	Bone Marrow	Bladder	1.1818	16.5500	14.0036	2.1584e-06	0
CTNNB1	Blood Vessel	Nerve	1.0785	58.3543	54.1077	4.1154e-01	0
EPHA2	Salivary Gland	DigestiveTract	1.5963	39.6967	24.8675	1.6648e-02	0
FBXW7	Skin	Brain	1.0341	8.6602	8.3747	9.9302e-01	0
FOXA1	Prostate	Bladder	2.2951	31.4264	13.6927	1.4793e-02	0
GATA3	Bladder	Skin	1.0572	51.5800	48.7883	2.1301e-01	0
HLA-A	Blood	Spleen	1.1995	592.4880	493.9589	2.5042e-02	0
IRF2	Blood	Spleen	1.2589	27.4409	21.7975	2.5575e-04	0
KDM6A	Bone Marrow	FemaleReproductiveSystem	1.3575	10.8259	7.9748	6.1467e-15	0
KEAP1	Muscle	Bladder	1.9663	40.2679	20.4791	2.1966e-06	0
KMT2C	Bone Marrow	Thyroid	1.4111	8.8731	6.2881	3.2807e-16	0
KRAS	Nerve	Bone Marrow	1.0091	8.9129	8.8327	9.7715e-01	0
MAP2K4	Brain	Pituitary	1.5370	13.1091	8.5292	4.7935e-04	0
MAP2K7	Pituitary	Spleen	1.0161	14.9479	14.7106	2.9779e-01	0
MAP3K1	Thyroid	Spleen	1.1133	10.1623	9.1281	3.1460e-02	0
NF2	Brain	Adrenal Gland	1.3329	8.8395	6.6316	2.9235e-09	0
NFE2L2	Bladder	Skin	1.3003	36.7873	28.2918	2.4772e-03	0
NRAS	Bone Marrow	Skin	3.3170	38.6167	11.6421	9.7331e-30	0
PBRM1	Bladder	Adipose Tissue	1.0433	7.8373	7.5117	1.8165e-01	0
PI15	Prostate	FemaleReproductiveSystem	1.6033	15.7212	9.8057	4.0708e-07	0
PIGR	Salivary Gland	Small Intestine	1.6176	422.1217	260.9576	4.3112e-01	0
PIK3CA	Adipose Tissue	Bone Marrow	1.0181	7.2664	7.1373	9.6970e-01	0
PIK3R1	Nerve	Salivary Gland	1.6598	42.1922	25.4200	2.1311e-02	0
PROKR2	Brain	Pituitary	1.3633	0.1403	0.1029	6.1538e-01	0
PTEN	Blood	Adipose Tissue	1.1918	27.5431	23.1113	5.5159e-04	0
RB1	Bone Marrow	Salivary Gland	1.1652	9.9469	8.5367	5.5239e-02	0
RBM10	Pituitary	Prostate	1.2134	31.9321	26.3164	1.3073e-05	0
RNF43	Prostate	Small Intestine	1.0970	4.7531	4.3329	9.3330e-01	0
RPL22	Bone Marrow	FemaleReproductiveSystem	1.5646	130.2512	83.2497	7.5495e-19	0
RPL5	Bone Marrow	FemaleReproductiveSystem	1.1358	450.2498	396.4088	7.2102e-08	0
RPS6KA3	Bone Marrow	Muscle	1.2897	17.7516	13.7645	1.6517e-08	0
SETD2	Bone Marrow	Thyroid	1.0985	13.0837	11.9105	3.0118e-04	0
SETDB1	Spleen	Thyroid	1.0269	9.3336	9.0891	1.8043e-01	0
